Date.Time,Chl_a,DO,Nitrate,DO_sat,pH,Phosphate,Pressure,Salinity,Temp_C,Turbidity
6/1/17 0:00,1.7,5.87,-0.013,6.3,,0.022,1.03,36.39,28.75,2.4
6/1/17 1:00,1.49,5.71,-0.018,6.38,,0.021,1.06,36.34,27.96,4.06
6/1/17 2:00,1.22,5.65,-0.02,6.41,,0.019,1.069,36.41,27.63,2.52
6/1/17 3:00,1.67,6.01,-0.023,6.53,,0.016,1.081,36.37,26.57,1.43
6/1/17 4:00,1.52,5.65,-0.022,6.45,,0.013,1.1,36.33,27.31,1.4
6/1/17 5:00,1.52,5.57,-0.022,6.45,,0.012,1.08,36.32,27.3,1.49
6/1/17 6:00,1.18,5.14,-0.019,6.4,,0.011,1.062,36.36,27.79,1.8
6/1/17 7:00,1.22,5.48,-0.017,6.4,,0.013,1.04,36.39,27.74,2.31
6/1/17 11:00,,,,,,0.026,,,,
6/1/17 12:00,1.34,5.81,-0.004,6.3,,0.028,1.03,36.39,28.77,2.56
6/1/17 13:00,1.14,5.98,-0.011,6.32,,0.025,1.041,36.38,28.51,2.11
6/1/17 14:00,1.13,6.14,-0.019,6.31,,0.023,1.055,36.39,28.66,1.93
6/1/17 15:00,1.28,6.17,-0.015,6.29,,0.025,1.071,36.4,28.79,2.62
6/1/17 16:00,1.25,6.19,-0.014,6.3,,0.025,1.074,36.41,28.75,1.84
6/1/17 17:00,1.36,6.07,-0.011,6.29,,0.025,1.053,36.42,28.83,1.9
6/1/17 18:00,1.46,6.1,-0.008,6.26,,0.025,1.025,36.45,29.08,2.92
6/1/17 19:00,1.56,5.89,-0.018,6.27,,0.028,0.992,36.47,28.97,4.79
6/1/17 20:00,1.61,5.85,-0.012,6.27,,0.03,0.989,36.5,28.95,6.18
6/1/17 21:00,1.76,5.8,-0.004,6.26,,0.031,0.999,36.52,29.11,5.31
6/1/17 22:00,1.61,5.88,-0.019,6.22,,0.026,0.99,36.54,29.45,3.51
6/1/17 23:00,1.66,5.75,-0.012,6.28,,0.026,1,36.51,28.85,3.09
6/2/17 0:00,1.61,5.66,-0.019,6.29,,0.028,1.03,36.49,28.74,2.45
6/2/17 1:00,1.39,5.75,-0.023,6.34,,0.023,1.056,36.38,28.3,3.21
6/2/17 2:00,1.35,5.98,-0.022,6.43,,0.019,1.083,35.42,27.83,1.77
6/2/17 3:00,1.3,5.98,-0.021,6.44,,0.017,1.105,35.65,27.66,2.13
6/2/17 4:00,1.15,6.01,-0.021,6.46,,0.01,1.12,35.65,27.44,2.67
6/2/17 5:00,1.11,5.8,-0.018,6.46,,0.007,1.12,36.08,27.33,1.95
6/2/17 6:00,1.12,5.14,-0.02,6.39,,0.005,1.094,36.23,27.95,1.62
6/2/17 7:00,1.1,4.94,-0.016,6.37,,0.005,1.08,36.28,28.1,1.98
6/2/17 8:00,1.22,4.98,-0.024,6.31,,0.008,1.06,36.36,28.61,2.08
6/2/17 9:00,1.3,5.19,-0.017,6.32,,0.011,1.04,36.18,28.57,1.76
6/2/17 10:00,1.15,5.19,-0.014,6.32,,0.014,1.021,36.25,28.58,1.84
6/2/17 11:00,1.22,5.56,-0.02,6.42,,0.014,1.005,36.26,27.63,1.9
6/2/17 12:00,1.33,5.76,-0.023,6.42,,0.018,1.009,36.28,27.61,2.52
6/2/17 13:00,1.36,6.05,-0.02,6.48,,0.016,1.04,36.21,27.03,2.03
6/2/17 14:00,1.41,5.99,-0.019,6.45,,0.017,1.05,36.19,27.39,2.15
